DATE,Unemployment
2/1/93,6.9
3/1/93,6.3
4/1/93,6.3
5/1/93,6.5
6/1/93,7.1
7/1/93,7
8/1/93,6.8
9/1/93,6.6
10/1/93,6.5
11/1/93,6.2
12/1/93,5.8
1/1/94,6.7
2/1/94,6.4
3/1/94,6.4
4/1/94,5.9
5/1/94,5.8
6/1/94,6.5
7/1/94,6.4
8/1/94,6.3
9/1/94,6
10/1/94,5.6
11/1/94,5.4
12/1/94,4.8
1/1/95,5.8
2/1/95,5.5
3/1/95,5.4
4/1/95,5.5
5/1/95,5.3
6/1/95,6.1
7/1/95,6.3
8/1/95,6
9/1/95,5.8
10/1/95,5.5
11/1/95,5.2
12/1/95,4.9
1/1/96,6
2/1/96,5.5
3/1/96,5.3
4/1/96,5.1
5/1/96,5.4
6/1/96,5.7
7/1/96,5.9
8/1/96,5.7
9/1/96,5.3
10/1/96,5.2
11/1/96,5.2
12/1/96,5
1/1/97,5.6
2/1/97,5.5
3/1/97,5.2
4/1/97,4.6
5/1/97,5.1
6/1/97,5.4
7/1/97,5.4
8/1/97,5.3
9/1/97,5.1
10/1/97,4.5
11/1/97,4.4
12/1/97,4.2
1/1/98,5
2/1/98,4.8
3/1/98,4.8
4/1/98,4.2
5/1/98,4.4
6/1/98,5
7/1/98,4.9
8/1/98,5
9/1/98,4.6
10/1/98,4.5
11/1/98,4.4
12/1/98,3.8
1/1/99,4.6
2/1/99,4.5
3/1/99,4.5
4/1/99,4.2
5/1/99,4
6/1/99,4.8
7/1/99,4.9
8/1/99,4.6
9/1/99,4.4
10/1/99,4
11/1/99,4
12/1/99,3.5
1/1/00,4.3
2/1/00,4.2
3/1/00,4.3
4/1/00,3.7
5/1/00,4.1
6/1/00,4.5
7/1/00,4.6
8/1/00,4.6
9/1/00,4.1
10/1/00,3.7
11/1/00,3.8
12/1/00,3.4
1/1/01,4.3
2/1/01,4.2
3/1/01,4.2
4/1/01,4
5/1/01,4.1
6/1/01,4.8
7/1/01,5
8/1/01,5.2
9/1/01,5
10/1/01,5
11/1/01,5.1
12/1/01,5.1
1/1/02,5.7
2/1/02,5.6
3/1/02,5.5
4/1/02,5.5
5/1/02,5.5
6/1/02,6.1
7/1/02,6.2
8/1/02,5.9
9/1/02,5.4
10/1/02,5.4
11/1/02,5.4
12/1/02,5.1
1/1/03,5.6
2/1/03,5.6
3/1/03,5.6
4/1/03,5.3
5/1/03,5.5
6/1/03,6.4
7/1/03,6.3
8/1/03,6.2
9/1/03,5.8
10/1/03,5.5
11/1/03,5.2
12/1/03,5
1/1/04,5.8
2/1/04,5.5
3/1/04,5.6
4/1/04,5.1
5/1/04,5.1
6/1/04,6
7/1/04,6.1
8/1/04,5.6
9/1/04,5.2
10/1/04,5.1
11/1/04,5
12/1/04,4.7
1/1/05,5.2
2/1/05,5.2
3/1/05,4.9
4/1/05,4.9
5/1/05,5
6/1/05,5.5
7/1/05,5.7
8/1/05,5.2
9/1/05,5.1
10/1/05,5
11/1/05,4.9
12/1/05,4.4
1/1/06,4.9
2/1/06,4.7
3/1/06,4.5
4/1/06,4.4
5/1/06,4.3
6/1/06,5
7/1/06,5.3
8/1/06,5
9/1/06,4.8
10/1/06,4.3
11/1/06,4.4
12/1/06,4
1/1/07,4.6
2/1/07,4.2
3/1/07,4.1
4/1/07,4.1
5/1/07,4.1
6/1/07,4.8
7/1/07,5.2
8/1/07,5
9/1/07,4.6
10/1/07,4.4
11/1/07,4.5
12/1/07,4.4
1/1/08,4.8
2/1/08,4.6
3/1/08,4.7
4/1/08,4.4
5/1/08,5.1
6/1/08,5.7
7/1/08,6
8/1/08,6.4
9/1/08,5.6
10/1/08,5.7
11/1/08,5.9
12/1/08,6
1/1/09,7
2/1/09,7.2
3/1/09,7.3
4/1/09,7.1
5/1/09,7.7
6/1/09,8.9
7/1/09,9.2
8/1/09,8.9
9/1/09,8.6
10/1/09,8.5
11/1/09,8.2
12/1/09,8.1
1/1/10,8.5
2/1/10,8.5
3/1/10,8.3
4/1/10,8.2
5/1/10,8.5
6/1/10,8.8
7/1/10,9.4
8/1/10,9.3
9/1/10,8.7
10/1/10,8.6
11/1/10,8.6
12/1/10,8
1/1/11,8.6
2/1/11,8.4
3/1/11,8
4/1/11,7.9
5/1/11,8.3
6/1/11,9.1
7/1/11,9.4
8/1/11,9.2
9/1/11,8.8
10/1/11,8.3
11/1/11,7.9
12/1/11,7.7
1/1/12,8.3
2/1/12,8.1
3/1/12,7.7
4/1/12,7.4
5/1/12,7.7
6/1/12,8.4
7/1/12,9
8/1/12,8.4
9/1/12,7.6
10/1/12,7.6
11/1/12,7.2
12/1/12,7.3
1/1/13,7.9
2/1/13,7.6
3/1/13,7.2
4/1/13,6.7
5/1/13,6.8
6/1/13,7.8
7/1/13,7.8
8/1/13,7.3
9/1/13,6.7
10/1/13,6.8
11/1/13,6.3
12/1/13,6.1
1/1/14,6.5
2/1/14,6.3
3/1/14,6.4
4/1/14,5.6
5/1/14,5.9
6/1/14,6.3
7/1/14,6.9
8/1/14,6.6
9/1/14,6
10/1/14,5.8
11/1/14,5.4
12/1/14,4.9
1/1/15,5.6
2/1/15,5.3
3/1/15,5.1
4/1/15,4.9
5/1/15,5.2
6/1/15,5.5
7/1/15,6
8/1/15,5.5
9/1/15,5
10/1/15,4.9
11/1/15,4.7
12/1/15,4.4
1/1/16,5.1
2/1/16,4.8
3/1/16,4.9
4/1/16,4.6
5/1/16,4.5
6/1/16,5.2
7/1/16,5.3
8/1/16,5.3
9/1/16,4.8
10/1/16,4.6
11/1/16,4.3
12/1/16,4.1
1/1/17,4.9
2/1/17,4.6
3/1/17,4.1
4/1/17,4.1
5/1/17,4.2
6/1/17,4.7
7/1/17,4.9
8/1/17,4.8
9/1/17,4.2
10/1/17,3.8
11/1/17,3.8
12/1/17,3.7
1/1/18,4.2
2/1/18,4.1
3/1/18,3.8
4/1/18,3.4
5/1/18,3.4
6/1/18,4.2
7/1/18,4.5
8/1/18,4.3
9/1/18,3.6
10/1/18,3.6
11/1/18,3.5
12/1/18,3.4
1/1/19,4.1
2/1/19,3.8
3/1/19,3.5
4/1/19,3.1
5/1/19,3.3
6/1/19,4
7/1/19,4.3
8/1/19,4.1
9/1/19,3.4
10/1/19,3.3
11/1/19,3.3
12/1/19,3.2
1/1/20,3.7
2/1/20,3.4
3/1/20,4.2
4/1/20,15.7
5/1/20,14.3
6/1/20,12
7/1/20,11.3
8/1/20,9.1
9/1/20,8
10/1/20,6.5
11/1/20,6.1
12/1/20,6.3
1/1/21,6.5
2/1/21,6.1
3/1/21,5.8
4/1/21,5.4
5/1/21,5.2
6/1/21,6.1
7/1/21,5.8
8/1/21,5.5
9/1/21,4.5
10/1/21,4.4
11/1/21,3.9
12/1/21,3.5
1/1/22,4.1
2/1/22,3.9
3/1/22,3.5
4/1/22,3.1
5/1/22,3.4
6/1/22,4
7/1/22,4.1
8/1/22,4
9/1/22,3.4
10/1/22,3.5
